id,rotulo_atual
76add522d103a6cf6f47791fb9791dac65d1095f,(Não rotulado)
531ffb2a66f51e4a35769dad0f7ee77d95f4859f,(Não rotulado)
08d007ecd541f24731239b46917ede598814eef3,(Não rotulado)
61cdc7ae13cb54227be2e138820f6080cf65ba1a,(Não rotulado)
a2f58b247f9370b2e3c86ef00a314b6330e53435,(Não rotulado)
50d6afacb633ce070b8f563ffdde238b637c4e73,(Não rotulado)
78b64547d1cb5e91af4a6e51cb421c701b6993b9,(Não rotulado)
b7639503d83796a249465d8c384e867c510d4922,(Não rotulado)
b3d3f95b55ca7dc29817a4d283feccc7f8650c56,(Não rotulado)
e65657346bec6d9dd230c0a081b942c3fbd76959,(Não rotulado)
82e1bcdaae616ded0220d17c77726ca5df052644,(Não rotulado)
1981a83ee2f3b8967daf94bc63d9ba1091e33c5d,(Não rotulado)
83fb7864ea49105c5e60fdbaa2cd4431d5b4525c,(Não rotulado)
b354ea5b5efac93e9fc6a0feff52169824a5753f,(Não rotulado)
a0644bd049bdb4cf4714661a03e8b04ac841f81c,(Não rotulado)
256f58e4b03fdefc3af754aa46558680f2f26391,(Não rotulado)
3d7fee365d7e68252321d37bb7941c399a3bce5b,(Não rotulado)
87b7986443486619bb63ae22b5bb53374a30c635,(Não rotulado)
faa2da64234f4973c06884ba939938da3dd8ff9d,(Não rotulado)
18cafeda63b4e5129e5cb1b70a3a4ccac0c75c43,(Não rotulado)
af94d9810e592c6bf044aef7b4b9bcfc24a9058b,(Não rotulado)
4cf2c32cd9ed20fa1296bcd99f2c2984574a5517,(Não rotulado)
75770ec3bbef3009b749d615d9053423e80669e7,(Não rotulado)
72fca574d3504f862bcbcdaabc9b11e256c94fb4,(Não rotulado)
c5fbdc485147d35a30e7e8ea91c074fc6ba953e2,(Não rotulado)
19e7fe455823b778a9df2fcacd7efa748ce30fc1,(Não rotulado)
02fe85f3af8bfafc5dc7621346b694312412d379,(Não rotulado)
a5b3baca2961ac2a82049f73d2a94aa84bf45205,(Não rotulado)
d6b736f3786cfb3ab275712883dd2768f4f88daa,(Não rotulado)
f1e53746287d116208057a34712c3c17f3292e8b,(Não rotulado)
2ccf5a15b305a84ae20d20a56e401635f8e62bd8,(Não rotulado)
ea76efb1b9cc3ace7248aca686253d1505ec70fd,(Não rotulado)
c25c0484e12f8a16de0fdaf2cdf9f454597ff60d,(Não rotulado)
9b9d0658a63fda0bc2e266def235aea80cbd332b,(Não rotulado)
f35971423a5f44189731c67b014824a6f478e190,(Não rotulado)
7e71fc523dd576e234ef92b756648fc484186803,(Não rotulado)
e7700481c5300c8773d9637d7d9d62b3fbd88ca5,(Não rotulado)
15d1deae8f91362bca280c27eed8f5d1f7a922f1,(Não rotulado)
6d79c8fff743a32aae522f0809c097059f991d61,(Não rotulado)
0d5597414c5fd02782dc04a08d083eb0379d3c47,(Não rotulado)
419dfc8cd742731179f25209827bd498da70188a,(Não rotulado)
d165d69170026888fa1ef2ad6f80254926f47b2e,(Não rotulado)
9770880913d9b17f6d726053efce7b853a13e712,(Não rotulado)
b4297519a347bbb43c380451798f09db67b89244,(Não rotulado)
679497b348e61aa8f486f4403c928087e507a8db,(Não rotulado)
2088e36805641edd18da9d9710c114a66ea4f2a3,(Não rotulado)
05b8d6a4668e9c7ca68fbee7575d2e3f52723bc8,(Não rotulado)
5aec6675cde1038ad9bd696be3763d986cb52eec,(Não rotulado)
cb4081747561f6cc274e3b0a96388a78d6008ca4,(Não rotulado)
8f00ba7c4f3b427e46a38b66fc72d9c99e9ab9f3,(Não rotulado)
84735eb3f64fc1f938e46af876c3b3f9f1593e6b,(Não rotulado)
a63466441f35e10cc51a84479ec6f728b7a85b17,(Não rotulado)
2a00d388ce067d86d8f961b7aba9c22d354185f8,(Não rotulado)
9d03f4838f699622ae0ab54045ac518b122a5508,(Não rotulado)
33a8434b7a905d7a9f8bf5356fcee4ea1ed0c58f,(Não rotulado)
